PID,YearBuilt,YearRemodel,VeneerExterior,BsmtFinTp,BsmtFinSqft,BsmtUnfinSqft,HeatingQC,FstFlrSqft,SecFlrSqft,AbvGrndLiving,FullBathBsmt,HalfBathHouse,FullBathHouse,BdrmAbvGrnd,RmAbvGrnd,Fireplaces,GarageTp,GarageCars,GarageArea,WdDckSqft,OpenPrchSqft,SalePrice,LotArea,LotShape,BldgTp,OverallQuality,OverallCondition
526301100,1960,1960,112,1,639,441,0,1656,0,1656,1,0,1,3,7,2,3,2,528,210,62,215000,31770,0,1,6,5
526350040,1961,1961,0,1,468,270,1,896,0,896,0,0,1,2,5,0,3,1,730,140,0,105000,11622,1,1,5,6
526351010,1958,1958,108,1,923,406,1,1329,0,1329,0,1,1,3,6,0,3,1,312,393,36,172000,14267,0,1,6,6
526353030,1968,1968,0,1,1065,1045,3,2110,0,2110,1,1,2,3,8,2,3,2,522,0,0,244000,11160,1,1,7,5
527105010,1997,1998,0,1,791,137,2,928,701,1629,0,1,2,3,6,1,3,2,482,212,34,189900,13830,0,1,5,5
527105030,1998,1998,20,1,602,324,3,926,678,1604,0,1,2,3,7,1,3,2,470,360,36,195500,9978,0,1,6,6
527127150,2001,2001,0,1,616,722,3,1338,0,1338,1,0,2,2,6,0,3,2,582,0,0,213500,4920,1,0,8,5
527145080,1992,1992,0,1,263,1017,3,1280,0,1280,0,0,2,2,5,0,3,2,506,0,82,191500,5005,0,0,8,5
527146030,1995,1996,0,1,1180,415,3,1616,0,1616,1,0,2,2,5,1,3,2,608,237,152,236500,5389,0,0,8,5
527162130,1999,1999,0,0,0,994,2,1028,776,1804,0,1,2,3,7,1,3,2,442,140,60,189000,7500,1,1,7,5
527163010,1993,1994,0,0,0,763,2,763,892,1655,0,1,2,3,7,1,3,2,440,157,84,175900,10000,0,1,6,5
527165230,1992,2007,0,1,935,233,3,1187,0,1187,1,0,2,3,6,0,3,2,420,483,21,185000,7980,0,1,6,7
527166040,1998,1998,0,0,0,789,2,789,676,1465,0,1,2,3,7,1,3,2,393,0,75,180400,8402,0,1,6,5
527180040,1990,1990,0,1,637,663,2,1341,0,1341,1,1,1,2,5,1,3,2,506,192,0,171500,10176,1,1,7,5
527182190,1985,1985,0,1,368,0,1,1502,0,1502,1,1,1,1,4,0,3,2,528,0,54,212000,6820,0,0,8,5
527258010,2010,2010,350,1,1445,411,3,1856,0,1856,1,1,1,1,8,1,3,3,834,113,0,394432,11394,1,1,9,2
527276150,1951,1951,0,1,120,744,3,864,0,864,0,0,1,2,4,0,1,2,400,0,0,141000,19138,1,1,4,5
527302110,1978,1988,119,1,790,589,1,2073,0,2073,1,0,2,3,7,2,3,2,500,349,0,210000,13175,1,1,6,6
527358140,1977,1977,480,1,705,1139,3,1844,0,1844,0,0,2,3,7,1,3,2,546,0,122,190000,11751,0,1,6,6
527358200,1974,1974,81,1,885,0,1,1173,0,1173,1,0,2,3,6,2,3,2,528,0,120,170000,10625,1,1,7,6
527368020,2000,2000,0,1,533,281,3,814,860,1674,1,1,2,3,7,0,3,2,663,0,96,216000,7500,1,1,7,5
527402200,1970,1970,180,1,578,426,3,1004,0,1004,1,0,1,2,5,1,3,2,480,0,0,149000,11241,0,1,6,7
527402250,1971,2008,0,1,734,344,3,1078,0,1078,1,1,1,3,6,1,3,2,500,0,0,149900,12537,0,1,5,6
527403020,1968,1968,0,1,775,281,3,1056,0,1056,1,0,1,3,6,1,3,1,304,0,85,142000,8450,1,1,5,6
527404120,1970,1970,0,1,804,0,1,882,0,882,1,0,1,2,4,0,3,2,525,240,0,126000,8400,1,1,4,5
527425090,1971,1971,0,1,432,432,1,864,0,864,0,0,1,3,5,1,0,0,0,0,0,115000,10500,1,1,4,5
527427230,1999,1999,0,1,1051,354,3,1337,0,1337,1,0,2,2,5,1,3,2,511,203,68,184000,5858,0,0,7,5
527451180,1971,1971,504,1,156,327,1,483,504,987,0,1,1,2,5,0,1,1,264,275,0,96000,1680,1,0,6,5
527451330,1971,1971,492,1,300,225,1,525,567,1092,0,1,1,3,6,0,1,1,320,0,0,105500,1680,1,0,5,5
527451410,1971,1971,381,0,0,525,1,525,567,1092,0,1,1,3,6,0,1,1,264,0,0,88000,1680,1,0,6,5
527452190,1977,1977,0,1,360,709,1,1069,0,1069,0,0,2,2,4,1,3,2,440,0,55,127500,4043,1,0,6,5
527453130,1975,1975,0,1,514,341,1,855,601,1456,0,1,2,3,6,1,3,2,440,173,0,149900,2280,1,0,6,6
527453150,1975,1975,0,0,0,836,3,836,0,836,0,0,1,2,4,0,3,1,308,0,30,120000,2280,1,0,7,6
527454200,1978,1978,0,1,311,544,0,855,601,1456,0,1,2,3,7,1,3,2,440,26,0,146000,2280,1,0,6,5
528112020,2007,2008,200,1,1218,486,3,1704,0,1704,1,0,2,3,7,1,3,3,772,0,50,306000,11478,1,1,8,5
